"EID","label","type","X","Y","status"
1,"'Adade Yus Mountain","Mountain",-124.683333,55.3,"ADOPTED"
2,"'Ksan","Locality",-127.666667,55.25,"ADOPTED"
3,"100 Mile House","District Municipality",-121.283333,51.65,"ADOPTED"
4,"101 Mile Lake","Lake",-121.3,51.666667,"ADOPTED"
5,"103 Mile Lake","Lake",-121.3,51.683333,"ADOPTED"
6,"105 Mile House","Locality",-121.316667,51.7,"ADOPTED"
7,"105 Mile Lake","Lake",-121.333333,51.716667,"ADOPTED"
8,"105 Mile Post IR 2","Indian Reserve",-121.316667,50.733333,"ADOPTED"
9,"108 Mile House","Locality",-121.35,51.75,"RESCINDED"
10,"108 Mile Lake","Lake",-121.35,51.75,"ADOPTED"
11,"108 Mile Ranch","Community",-121.35,51.75,"ADOPTED"
12,"111 Mile Creek","Creek",-121.466667,51.8,"ADOPTED"
13,"111 Mile House","Locality",-121.383333,51.766667,"ADOPTED"
14,"114 Mile House","Locality",-121.433333,51.8,"ADOPTED"
15,"117 Mile Creek","Creek",-121.483333,51.816667,"ADOPTED"
16,"12 Mile","Locality",-124.966667,55.816667,"ADOPTED"
17,"122 Mile House","Locality",-121.6,51.85,"ADOPTED"
18,"127 Mile House","Locality",-121.666667,51.883333,"ADOPTED"
19,"130 Mile Lake","Lake",-121.733333,51.9,"ADOPTED"
20,"141 Mile House","Community",-121.85,52,"ADOPTED"
21,"15 Mile Swamp","Swamp",-123.666667,55.616667,"ADOPTED"
22,"150 Mile House","Community",-121.85,52.116667,"ADOPTED"
23,"150 Yard Creek","Creek",-124.5,48.55,"ADOPTED"
24,"158 Mile House","Locality",-121.966667,52.216667,"RESCINDED"
25,"18 Mile Reef","Reef",-124.708333,54.593333,"ADOPTED"
26,"180 Lake","Lake",-130.483333,57.35,"ADOPTED"
27,"28 Mile Lake","Lake",-124.183333,54.783333,"ADOPTED"
28,"3 Mile Creek","Creek",-121.866667,52.5,"ADOPTED"
29,"3 Mile Creek","Creek",-124.768056,55.805556,"ADOPTED"
30,"4½ Mile IR 2","Indian Reserve",-121.416667,49.6,"ADOPTED"
31,"4 Mile Lake","Lake",-121.55,51.040278,"ADOPTED"
32,"40 Mile Flats","Locality",-130.033333,57.9375,"ADOPTED"
33,"5040 Peak","Peak",-125.283333,49.183333,"ADOPTED"
34,"6 Mile Lake","Lake",-121.545833,51.023611,"ADOPTED"
35,"70 Mile","Railway Point",-121.4,51.3,"ADOPTED"
36,"70 Mile House","Community",-121.4,51.3,"ADOPTED"
37,"87 Mile House","Locality",-121.366667,51.5,"RESCINDED"
38,"93 Mile","Community",-121.333333,51.566667,"ADOPTED"
39,"Lake A","Lake",-123.291667,55.554167,"RESCINDED"
40,"Aaltanhash Inlet","Inlet",-128.516667,53.133333,"ADOPTED"
41,"Aaltanhash River","River",-128.466667,53.15,"ADOPTED"
42,"Aaron Hill","Hill",-117.55,49.3,"ADOPTED"
43,"Aaron Point","Point",-123.4,48.45,"ADOPTED"
44,"Aass IR 3","Indian Reserve",-126.816667,49.616667,"ADOPTED"
45,"Aba Lake","Lake",-122.083333,53.483333,"ADOPTED"
46,"Abas Lake","Lake",-124.616667,55.033333,"ADOPTED"
47,"Mount Abbl","Mount",-121.7,54.683333,"ADOPTED"
48,"Abbot Pass","Pass",-116.283333,51.366667,"ADOPTED"
49,"Abbotsford","City",-122.25,49.058333,"ADOPTED"
50,"Abbotsford","Community",-122.283333,49.05,"ADOPTED"
51,"Abbott Creek","Creek",-121.05,50.25,"ADOPTED"
52,"Abbott Creek","Creek",-119.15,50.316667,"ADOPTED"
53,"Abbott Creek","Creek",-117.2,50.633333,"ADOPTED"
54,"Abbott Creek","Creek",-121.183333,52.533333,"ADOPTED"
55,"Abbott Lake","Lake",-121.5,52.333333,"ADOPTED"
56,"Abbott Lake","Lake",-121.001389,50.2875,"ADOPTED"
57,"Abbott Peak","Peak",-117.133333,50.633333,"ADOPTED"
58,"Mount Abbott","Mount",-117.516667,51.233333,"ADOPTED"
59,"Abbs Lake","Lake",-121.25,51.566667,"ADOPTED"
60,"Abby Ridge","Ridge",-114.95,50.316667,"ADOPTED"
61,"Abco Creek","Creek",-125.866667,49.383333,"ADOPTED"
62,"Abco Mountain","Mountain",-125.85,49.416667,"ADOPTED"
63,"Abel Creek","Creek",-126.35,50.166667,"ADOPTED"
64,"Abel Creek","Creek",-116.033333,50.483333,"ADOPTED"
65,"Abel Lake","Lake",-121.416667,51.7,"ADOPTED"
66,"Mount Abel","Mount",-126.316667,50.216667,"ADOPTED"
67,"Mount Abel","Mount",-116.2,50.3,"ADOPTED"
68,"Aberdeen","Community",-120.366667,50.65,"ADOPTED"
69,"Aberdeen","Community",-122.416667,49.05,"ADOPTED"
70,"Aberdeen Canyon","Canyon",-120.066667,49.383333,"RESCINDED"
71,"Aberdeen Creek","Creek",-129.916667,54.216667,"ADOPTED"
72,"Aberdeen Lake","Lake",-119.05,50.116667,"ADOPTED"
73,"Aberdeen Point","Point",-129.883333,54.216667,"ADOPTED"
74,"Aberdeen Ridge","Ridge",-120.05,49.383333,"ADOPTED"
75,"Mount Aberdeen","Mount",-119.066667,50.366667,"RESCINDED"
76,"Aberystwyth Lake","Lake",-116.5,50.616667,"ADOPTED"
77,"Abesti Creek","Creek",-127.4,57.5,"ADOPTED"
78,"Abethledua Mountain","Mountain",-129.283333,57.55,"ADOPTED"
79,"Abethledue Creek","Creek",-129.333333,57.516667,"ADOPTED"
80,"Abetibie Lake","Lake",-117.15,51.516667,"ADOPTED"
81,"Mount Abey","Mount",-116.716667,50.166667,"ADOPTED"
82,"Abies Creek","Creek",-127.4,56.35,"ADOPTED"
83,"Abode Creek","Creek",-114.783333,49.283333,"ADOPTED"
84,"Mount Abou","Mount",-128.9,57.5,"ADOPTED"
85,"Abraham Creek","Creek",-128.233333,56.85,"REINSTATED"
86,"Abraham Creek","Creek",-125.7,56.416667,"ADOPTED"
87,"Abraham Gulch","Gulch",-128.233333,56.85,"RESCINDED"
88,"Abraham Point","Point",-131.455556,52.469444,"ADOPTED"
89,"Abrahamson","Railway Point",-121.3,50.683333,"RESCINDED"
90,"Abrahamson Creek","Creek",-117.383333,50.533333,"ADOPTED"
91,"Abrams Island","Island",-128.833333,52.533333,"ADOPTED"
92,"Abrams Lake","Lake",-123.05,51.75,"ADOPTED"
93,"Mount Abriel","Mount",-117.833333,50.333333,"ADOPTED"
94,"Abrupt Point","Point",-127.633333,51.283333,"ADOPTED"
95,"Abruzzi Creek","Creek",-115.033333,50.45,"ADOPTED"
96,"Abruzzi Glacier","Glacier",-115.116667,50.416667,"ADOPTED"
97,"Abruzzi Lake","Lake",-115.080556,50.448611,"ADOPTED"
98,"Mount Abruzzi","Mount",-115.116667,50.45,"ADOPTED"
99,"Absalom Island","Island",-130.6,53.85,"ADOPTED"
100,"Absunstia Creek","Creek",-127.566667,50.516667,"ADOPTED"
101,"Abuntlet Lake","Lake",-125.416667,52.566667,"ADOPTED"
